Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52890-53-6,192.168.85.99,53,192.168.85.228,52890,6,522,1,2,0,101,0,0,0,0,101,0,50.5,71.4177849,193486.59,5747.126437,20,40,50.5,58.31237719,3400.333333
192.168.85.228-192.168.85.99-52895-53-6,192.168.85.228,52895,192.168.85.99,53,6,224620,5,6,41,162,39,0,8.2,17.23948955,161,0,27,65.64754375,903.7485531,48.97159647,100,144,16.91666667,46.72250447,2182.992424
192.168.85.228-192.168.85.99-52894-53-6,192.168.85.228,52894,192.168.85.99,53,6,225343,5,6,41,100,39,0,8.2,17.23948955,99,0,16.66666667,40.33691444,625.7128023,48.81447394,100,144,11.75,29.64985053,879.1136364
192.168.85.228-192.168.85.99-52893-53-6,192.168.85.228,52893,192.168.85.99,53,6,269993,5,6,41,112,39,0,8.2,17.23948955,111,0,18.66666667,45.23567913,566.6813584,40.74179701,100,144,12.75,32.88582176,1081.477273
192.168.85.228-192.168.85.99-52905-53-6,192.168.85.228,52905,192.168.85.99,53,6,206628,5,6,49,81,47,0,9.8,20.81345719,80,0,13.5,32.58066912,629.14997,53.23576669,100,144,10.83333333,25.59415179,655.0606061
192.168.85.228-192.168.85.99-52904-53-6,192.168.85.228,52904,192.168.85.99,53,6,207609,5,6,49,77,47,0,9.8,20.81345719,76,0,12.83333333,30.94780552,606.9101051,52.98421552,100,144,10.5,24.61891365,606.0909091
192.168.85.228-192.168.85.99-52906-53-6,192.168.85.228,52906,192.168.85.99,53,6,207122,5,6,49,94,47,0,9.8,20.81345719,93,0,15.66666667,37.88755293,690.4143452,53.10879578,100,144,11.91666667,28.85530779,832.6287879
192.168.85.228-192.168.85.99-52908-53-6,192.168.85.228,52908,192.168.85.99,53,6,262002,4,6,43,107,41,0,10.75,20.18869321,106,0,17.83333333,43.19452126,572.5147136,38.16764758,80,144,13.63636364,32.97960802,1087.654545
192.168.85.228-192.168.85.99-52909-53-6,192.168.85.228,52909,192.168.85.99,53,6,261647,5,6,43,128,41,0,8.6,18.13284313,127,0,21.33333333,51.76742863,653.5523052,42.04137636,100,144,14.25,37.39014211,1398.022727
192.168.85.228-192.168.85.99-52907-53-6,192.168.85.228,52907,192.168.85.99,53,6,263060,5,6,43,155,41,0,8.6,18.13284313,154,0,25.83333333,62.78986118,752.679997,41.81555539,100,144,16.5,44.85836296,2012.272727
