"Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Fwd Header Len","Bwd Header Len","Pkt Len Mean","Pkt Len Std","Pkt Len Var","Label"
"172.31.69.25-18.219.193.20-80-34106-6","18.219.193.20","34106","172.31.69.25","80","6","4227926","3","6","323","935","323","0","107.6666667","186.4841369","935","0","155.8333333","381.7121516","297.5454159","2.128703293","104","200","125.8","301.9009403","91144.17778","1"
"172.31.69.25-18.219.193.20-80-47060-6","18.219.193.20","47060","172.31.69.25","80","6","67113","2","1","0","0","0","0","0","0","0","0","0","0","0","44.70072862","64","32","0","0","0","1"
"172.31.69.25-18.218.11.51-80-54373-6","18.218.11.51","54373","172.31.69.25","80","6","12898215","2","0","0","0","0","0","0","0","0","0","0","0","0","0.155060216","40","0","0","0","0","1"
"172.31.69.28-18.216.200.189-80-57489-6","18.216.200.189","57489","172.31.69.28","80","6","32140","1","1","0","0","0","0","0","0","0","0","0","0","0","62.22775358","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-42204-6","172.31.69.25","80","18.219.193.20","42204","6","5453003","4","5","935","373","935","0","233.75","467.5","373","0","74.6","166.8106711","239.8678306","1.650466724","136","176","130.8","305.9171275","93585.28889","1"
"172.31.69.25-18.219.193.20-80-48832-6","172.31.69.25","80","18.219.193.20","48832","6","64639218","4","5","935","304","935","0","233.75","467.5","304","0","60.8","135.952933","19.16792991","0.139234358","136","168","123.9","300.5788674","90347.65556","1"
"172.31.69.28-18.218.11.51-80-54012-6","172.31.69.28","80","18.218.11.51","54012","6","1361","4","3","935","339","935","0","233.75","467.5","339","0","113","195.7217413","936076.4144","5143.277002","92","72","159.25","335.1463433","112323.0714","1"
"172.31.69.28-18.216.24.42-80-49874-6","172.31.69.28","80","18.216.24.42","49874","6","34416","4","3","935","313","935","0","233.75","467.5","313","0","104.3333333","180.7106343","36262.20363","203.3937703","92","72","156","333.2750901","111072.2857","1"
"172.31.69.25-18.217.165.70-80-49158-6","18.217.165.70","49158","172.31.69.25","80","6","108375029","14","4","2530","0","230","0","180.7142857","97.93752213","0","0","0","0","23.34486111","0.166089921","456","140","133.1578947","116.6691729","13611.69591","1"
"172.31.69.25-13.59.126.31-21-45802-6","13.59.126.31","45802","172.31.69.25","21","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1000000","0","60","0","0","0","1"
"172.31.69.28-18.216.24.42-80-55208-6","18.216.24.42","55208","172.31.69.28","80","6","1513","1","1","0","0","0","0","0","0","0","0","0","0","0","1321.877065","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-40838-6","18.219.193.20","40838","172.31.69.25","80","6","12739","2","5","301","935","301","0","150.5","212.8391411","935","0","187","418.1447118","97024.88421","549.4936808","64","176","154.5","332.493609","110552","1"
"172.31.69.28-18.218.55.126-80-54113-6","172.31.69.28","80","18.218.55.126","54113","6","1116","4","3","935","291","935","0","233.75","467.5","291","0","97","168.0089283","1098566.308","6272.401434","92","72","153.25","331.8824017","110145.9286","1"
"172.31.69.28-18.216.24.42-80-58327-6","18.216.24.42","58327","172.31.69.28","80","6","26991","1","1","0","0","0","0","0","0","0","0","0","0","0","74.09877367","20","20","0","0","0","1"
"172.31.69.28-18.218.55.126-80-57624-6","172.31.69.28","80","18.218.55.126","57624","6","11944","4","3","935","248","935","0","233.75","467.5","248","0","82.66666667","143.1828668","99045.54588","586.0683188","92","72","147.875","329.6736211","108684.6964","1"
"172.31.69.25-18.219.193.20-80-52986-6","18.219.193.20","52986","172.31.69.25","80","6","4400","1","1","0","0","0","0","0","0","0","0","0","0","0","454.5454545","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-45904-6","18.219.193.20","45904","172.31.69.25","80","6","30050","1","1","0","0","0","0","0","0","0","0","0","0","0","66.55574043","32","32","0","0","0","1"
"172.31.69.25-18.219.211.138-80-58514-6","18.219.211.138","58514","172.31.69.25","80","6","11728820","3","5","384","972","384","0","128","221.7025034","972","0","194.4","434.6916148","115.6126533","0.68208055","96","176","150.6666667","333.1546188","110992","1"
